UKPRN,ProviderName,ProviderType,Breakdown_code,Breakdown,Completions_2014,Completions_2015,Sustained_Employment_Rate_2014,Sustained_Employment_Rate_2015,Sustained_Learning_Rate_2014,Sustained_Learning_Rate_2015,Sustained_Positive_Destination_Rate_2014,Sustained_Positive_Destination_Rate_2015,Learning_Rate_2014,Learning_Rate_2015,Positive_Destination_Rate_2014,Positive_Destination_Rate_2015,Benefit_Learners_Completions_2014,Benefit_Learners_Completions_2015,Benefit_Learners_Sustained_Employment_Rate_2014,Benefit_Learners_Sustained_Employment_Rate_2015
10000020,5 E LTD.,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,Not Known/Not Provided,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,All,All,1580,1560,59,61,17,13,64,64,36,26,73,68,740,560,45,48
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Gender,Female,910,970,66,64,20,15,71,67,39,29,79,71,300,290,48,50
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Gender,Male,680,590,50,56,12,11,54,60,32,20,66,64,440,270,43,47
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Age,Under 19,120,70,81,70,48,45,84,81,61,58,91,84,x,x,x,x
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Age,19 - 24,430,440,71,71,25,19,77,74,45,35,82,78,120,120,48,53
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Age,25 - 49,730,790,54,60,12,10,59,63,31,21,70,66,420,310,46,49
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Age,50+,300,260,44,47,5,4,49,49,25,17,63,56,200,130,40,42
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Provision,Skills,1150,1250,50,57,12,11,55,60,33,23,67,64,710,520,43,47
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Provision,Apprenticeship,440,310,81,77,30,23,86,82,44,36,90,84,30,40,x,71
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Level,Level 4+,.,x,.,x,.,x,.,x,.,x,.,x,.,.,.,.
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Level,Full Level 3,220,180,86,84,14,13,89,84,28,23,91,86,x,x,x,x
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Level,Level 3 - Other,20,20,x,x,26,22,96,89,74,94,96,94,.,.,.,.
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Level,Full Level 2,550,390,64,66,27,19,70,71,41,32,77,75,190,120,55,56
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Level,Level 2 - Other,90,90,64,83,26,37,70,87,52,63,81,87,30,x,x,x
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Level,Below level 2 (excl. Traineeships),700,880,44,52,9,8,49,55,31,19,63,60,520,420,40,45
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Level,Traineeships,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,Learning Difficulties/Disability,390,430,42,43,13,8,51,46,34,20,65,53,190,220,35,40
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,No Learning Difficulties/Disability,1150,1110,64,68,19,16,68,71,37,28,76,74,510,330,47,53
10000028,WOODSPEEN TRAINING LIMITED,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,Not Known/Not Provided,50,30,62,x,x,14,62,76,20,21,71,76,40,10,60,x
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,All,All,2770,1210,72,72,17,31,78,83,26,38,80,85,290,90,54,47
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Gender,Female,1640,630,71,73,18,39,76,85,26,46,78,87,110,50,55,48
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Gender,Male,1130,570,75,71,16,22,82,80,27,29,84,82,180,40,53,45
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Age,Under 19,30,30,x,x,35,38,92,79,58,41,96,79,.,.,.,.
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Age,19 - 24,670,490,70,65,31,42,82,83,43,49,85,85,80,40,63,39
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Age,25 - 49,1300,590,79,77,15,24,83,84,25,32,85,85,160,40,56,53
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Age,50+,780,100,63,73,7,17,66,76,14,24,69,80,60,x,37,x
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Provision,Skills,2680,1120,72,71,17,31,78,82,26,38,80,84,290,90,53,45
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Provision,Apprenticeship,90,80,86,85,25,29,89,89,40,36,92,90,x,x,x,x
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Level,Level 4+,30,40,x,94,10,x,90,94,10,x,90,94,x,x,x,x
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Level,Full Level 3,240,250,70,74,49,42,89,87,57,49,92,88,10,20,x,x
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Level,Level 3 - Other,70,x,84,x,15,x,92,x,23,x,92,x,x,x,x,x
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Level,Full Level 2,560,400,85,75,22,33,89,84,36,41,91,86,50,20,71,x
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Level,Level 2 - Other,160,60,78,75,9,35,81,85,17,60,81,95,x,x,x,x
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Level,Below level 2 (excl. Traineeships),1710,460,67,66,12,25,72,78,20,30,74,80,230,50,49,30
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Level,Traineeships,.,x,.,x,.,x,.,x,.,x,.,x,.,.,.,.
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Learners with Learning Difficulties and/or Disabilities,Learning Difficulties/Disability,670,360,64,51,25,32,74,70,35,43,79,74,130,50,56,37
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Learners with Learning Difficulties and/or Disabilities,No Learning Difficulties/Disability,2060,850,76,81,15,30,80,88,24,36,81,89,170,40,52,59
10000055,ABINGDON AND WITNEY COLLEGE,General FE College incl Tertiary,Learners with Learning Difficulties and/or Disabilities,Not Known/Not Provided,40,x,62,x,9,x,62,x,12,x,62,x,.,.,.,.
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,All,All,3490,2430,62,64,12,13,66,67,32,31,74,73,1810,1090,48,48
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Gender,Female,1970,1530,72,71,15,14,75,73,35,35,81,78,630,430,51,49
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Gender,Male,1520,900,50,53,8,10,53,57,28,25,66,65,1180,660,47,47
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Age,Under 19,60,40,87,79,38,26,92,79,56,43,93,81,x,x,x,x
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Age,19 - 24,1310,840,64,67,14,17,68,71,33,33,76,77,830,470,54,53
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Age,25 - 49,1480,1120,62,63,11,11,66,66,32,31,75,72,640,420,44,44
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Age,50+,630,420,56,61,7,8,59,63,28,27,67,69,330,200,42,43
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Provision,Skills,3050,2080,59,61,11,11,63,64,31,31,72,71,1810,1070,48,48
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Provision,Apprenticeship,440,350,84,84,18,22,86,87,35,33,88,88,x,10,x,x
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Level,Level 4+,10,10,x,x,25,x,92,100,33,x,92,100,.,.,.,.
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Level,Full Level 3,320,210,86,83,6,14,87,85,18,25,88,85,x,x,x,x
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Level,Level 3 - Other,100,50,92,78,19,22,94,78,50,67,98,89,x,x,x,x
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Level,Full Level 2,810,680,86,83,17,19,88,85,37,40,91,88,30,50,x,65
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Level,Level 2 - Other,1300,590,52,60,10,12,57,63,30,31,68,71,1090,350,51,48
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Level,Below level 2 (excl. Traineeships),940,880,44,47,11,8,49,50,32,25,62,59,680,680,42,46
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Level,Traineeships,x,10,x,x,x,x,x,55,x,x,x,55,.,x,.,x
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,Learning Difficulties/Disability,920,650,44,46,10,7,50,49,31,27,63,60,590,370,42,38
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,No Learning Difficulties/Disability,2560,1780,68,71,13,15,72,74,32,33,78,78,1210,710,51,53
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,Not Known/Not Provided,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,All,All,710,820,83,81,15,15,86,83,31,28,88,85,10,50,x,71
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Gender,Female,600,710,83,81,15,15,86,83,31,28,88,85,10,40,x,71
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Gender,Male,120,110,84,80,15,20,87,83,31,27,91,84,x,x,x,x
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Age,Under 19,x,x,x,x,x,x,x,x,x,x,x,x,.,.,.,.
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Age,19 - 24,170,180,81,86,21,18,84,88,35,35,86,89,x,10,x,x
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Age,25 - 49,420,520,83,79,15,15,86,82,31,27,88,83,x,30,x,x
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Age,50+,110,120,86,79,4,10,87,81,22,21,92,84,x,x,x,x
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Provision,Skills,250,110,87,79,14,31,89,86,39,63,93,88,x,10,x,x
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Provision,Apprenticeship,460,710,81,81,15,13,84,83,26,22,86,84,x,30,x,x
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Level,Level 4+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Level,Full Level 3,240,270,81,78,11,9,84,80,22,21,86,82,x,x,x,x
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Level,Level 3 - Other,10,x,x,x,36,x,100,x,64,x,100,x,.,.,.,.
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Level,Full Level 2,330,470,84,82,15,15,86,84,28,23,88,85,10,30,x,x
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Level,Level 2 - Other,80,50,82,90,19,50,86,98,54,85,93,100,x,x,x,x
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Level,Below level 2 (excl. Traineeships),50,30,89,x,16,31,89,81,47,73,91,88,.,x,.,x
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Level,Traineeships,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,Learning Difficulties/Disability,x,x,x,x,x,x,x,x,x,x,x,x,.,x,.,x
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,No Learning Difficulties/Disability,710,820,83,81,15,15,86,83,31,27,88,85,10,40,x,70
10000061,ACACIA TRAINING LIMITED,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,Not Known/Not Provided,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,All,All,730,390,51,51,25,34,63,70,36,41,69,73,410,80,50,44
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Gender,Female,210,90,50,57,20,40,60,76,31,43,67,76,130,20,47,x
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Gender,Male,510,290,52,49,27,32,64,68,38,40,70,72,280,60,51,43
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Age,Under 19,30,40,x,33,80,31,88,53,84,53,92,67,.,x,.,x
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Age,19 - 24,390,290,56,53,32,36,71,73,41,42,75,75,160,60,56,42
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Age,25 - 49,250,50,46,53,13,23,53,66,27,28,63,68,190,20,47,x
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Age,50+,60,x,42,x,x,x,44,x,21,x,54,x,50,x,42,x
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Provision,Skills,720,370,51,50,25,35,63,70,36,43,69,73,410,80,50,43
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Provision,Apprenticeship,x,20,x,x,x,x,x,75,x,x,x,75,.,x,.,x
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Level,Level 4+,60,30,61,x,16,19,70,69,23,19,70,69,30,x,x,x
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Level,Full Level 3,190,240,59,55,38,32,76,73,43,37,78,74,40,40,64,42
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Level,Level 3 - Other,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Level,Full Level 2,60,50,43,37,40,49,62,67,52,53,68,67,20,20,x,x
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Level,Level 2 - Other,360,10,47,x,11,58,53,83,27,75,63,100,310,x,48,x
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Level,Below level 2 (excl. Traineeships),30,x,x,x,43,x,73,x,50,x,73,x,x,x,x,x
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Level,Traineeships,20,40,x,33,87,31,87,53,91,53,91,67,.,x,.,x
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,Learning Difficulties/Disability,170,70,38,44,18,35,50,69,30,46,57,73,100,20,43,x
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,No Learning Difficulties/Disability,540,310,55,53,26,33,67,70,37,40,73,73,310,70,52,42
10000080,ACCESS TO MUSIC LIMITED,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,Not Known/Not Provided,10,x,x,x,46,x,69,x,54,x,69,x,x,.,x,.
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,All,All,830,550,71,57,9,11,74,59,29,29,81,66,350,350,51,43
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Gender,Female,400,220,67,68,15,17,71,71,40,41,79,77,170,80,46,42
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Gender,Male,430,330,76,50,4,7,76,51,18,20,82,58,180,280,55,44
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Age,Under 19,x,x,x,x,x,x,x,x,x,x,x,x,.,.,.,.
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Age,19 - 24,210,170,72,58,15,16,75,61,37,32,83,66,110,110,54,45
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Age,25 - 49,500,300,71,57,8,10,73,58,27,27,79,64,200,190,49,43
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Age,50+,110,80,74,55,4,4,75,56,20,30,81,68,40,60,50,43
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Provision,Skills,650,450,68,51,7,9,70,53,27,28,78,60,340,340,50,42
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Provision,Apprenticeship,180,100,85,85,17,19,88,87,34,32,91,89,x,10,x,x
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Level,Level 4+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Level,Full Level 3,70,50,84,94,14,14,87,96,35,22,91,96,x,x,x,x
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Level,Level 3 - Other,20,30,x,x,17,23,89,81,78,68,94,87,.,x,.,x
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Level,Full Level 2,460,130,82,67,8,16,84,69,22,34,87,74,110,60,59,49
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Level,Level 2 - Other,240,90,51,52,9,12,55,53,32,38,66,63,200,70,48,43
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Level,Below level 2 (excl. Traineeships),50,250,48,43,16,7,48,46,50,19,68,53,30,230,x,42
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Level,Traineeships,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,Learning Difficulties/Disability,160,140,64,47,8,9,67,49,28,28,75,59,90,90,47,32
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,No Learning Difficulties/Disability,680,410,73,61,10,12,75,62,29,29,82,68,260,260,53,47
10000082,TRN (TRAIN) LTD.,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,Not Known/Not Provided,x,.,x,.,x,.,x,.,x,.,x,.,x,.,x,.
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,All,All,5050,3260,54,50,20,17,64,58,37,33,73,67,1900,1240,43,40
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Gender,Female,2400,1510,55,51,24,22,67,62,41,38,75,70,640,430,41,44
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Gender,Male,2640,1740,52,49,16,13,61,56,32,30,71,65,1260,810,43,39
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Age,Under 19,50,30,60,x,66,52,89,93,74,74,89,96,.,.,.,.
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Age,19 - 24,1180,730,55,50,27,23,69,60,43,39,77,68,410,260,44,40
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Age,25 - 49,3000,2020,54,50,20,16,64,59,36,33,73,68,1100,750,43,41
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Age,50+,820,480,51,45,9,9,57,50,27,25,68,60,390,230,41,39
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Provision,Skills,4800,3120,52,48,20,17,63,57,37,33,73,66,1890,1230,43,40
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Provision,Apprenticeship,250,140,77,81,18,18,83,88,25,30,84,91,x,x,x,x
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Level,Level 4+,40,30,86,x,17,x,94,94,33,19,97,94,x,.,x,.
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Level,Full Level 3,330,540,72,71,28,20,84,79,40,29,86,81,30,40,x,37
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Level,Level 3 - Other,380,50,80,49,21,42,85,74,34,53,88,81,30,10,x,x
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Level,Full Level 2,1450,750,64,56,23,24,75,67,39,41,83,74,430,270,50,45
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Level,Level 2 - Other,930,600,43,41,22,14,57,48,42,33,68,59,370,350,44,40
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Level,Below level 2 (excl. Traineeships),1920,1290,42,40,15,13,52,48,32,31,63,60,1040,570,38,39
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Level,Traineeships,x,.,x,.,x,.,x,.,x,.,x,.,.,.,.,.
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Learners with Learning Difficulties and/or Disabilities,Learning Difficulties/Disability,1200,920,36,33,21,18,50,46,41,38,65,59,500,390,35,35
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Learners with Learning Difficulties and/or Disabilities,No Learning Difficulties/Disability,3150,1920,61,58,20,17,70,65,35,32,77,72,1140,690,47,44
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,General FE College incl Tertiary,Learners with Learning Difficulties and/or Disabilities,Not Known/Not Provided,700,410,51,49,17,14,61,55,34,28,71,63,260,160,39,39
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,All,All,1470,880,62,62,18,19,68,69,37,37,78,76,840,270,55,50
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Gender,Female,820,600,67,65,20,20,73,73,39,38,81,79,320,120,59,56
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Gender,Male,660,280,56,53,15,16,61,60,34,34,74,69,530,150,52,45
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Age,Under 19,30,50,x,75,47,40,83,81,57,58,87,92,x,x,x,x
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Age,19 - 24,880,350,59,60,15,17,64,69,35,35,76,75,670,140,54,49
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Age,25 - 49,470,410,67,60,20,20,74,68,39,38,82,75,130,90,62,53
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Age,50+,90,70,57,67,15,8,64,68,40,28,76,75,40,30,50,x
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Provision,Skills,1260,650,58,53,18,19,65,63,39,37,77,71,830,250,55,49
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Provision,Apprenticeship,220,230,82,85,17,20,84,87,24,36,86,89,10,20,x,x
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Level,Level 4+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Level,Full Level 3,200,220,80,82,9,10,82,84,16,21,85,85,10,x,x,x
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Level,Level 3 - Other,20,20,x,x,17,x,70,80,57,x,87,80,x,x,x,x
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Level,Full Level 2,350,290,68,65,26,27,77,74,43,49,83,83,110,60,64,62
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Level,Level 2 - Other,140,160,64,47,20,19,69,57,50,38,80,64,80,90,53,41
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Level,Below level 2 (excl. Traineeships),750,180,53,46,15,16,59,55,36,36,73,64,640,100,54,49
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Level,Traineeships,x,20,x,x,x,36,x,57,x,64,x,79,x,x,x,x
10000099,ACHIEVEMENT TRAINING LIMITED,Private Sector Public Funded,Learners with Learning Difficulties and/or Disabilities,Learning Difficulties/Disability,490,360,54,54,17,16,60,62,42,34,75,70,270,130,50,44
